field_path,value,semantic_tag,primary_pdf_sha256,pdf_page,printed_page,source_item,crosscheck,review_status
worker.cost.f2.s1,"11,12",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,8,8,Table 5,thesis Table 4-2 PDF p59,visually_double_checked
worker.efficiency.f2.s2,"1.2,0.9",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,8,8,Table 5,thesis Table 4-2 PDF p59,visually_double_checked
worker.cost.f2.s2,"12,9",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,8,8,Table 5,thesis Table 4-2 PDF p59,visually_double_checked
encoding.JS,"6,10,5,4,7,2,8,3,1,9",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,9,9,Fig. 3,thesis visible Fig. 4-2 PDF p59 matches,visually_double_checked
encoding.FA,"2,1,2,1,1,1,2,2,2,1",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,9,9,Fig. 3,thesis visible Fig. 4-2 PDF p59 matches,visually_double_checked
encoding.MA,"2,2,2,1,1,3,1,1,2,2",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,9,9,Fig. 3,thesis visible Fig. 4-2 PDF p59 matches,visually_double_checked
encoding.WA,"2,2,1,2,1,2,1,2,2,1",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,9,9,Fig. 3,thesis visible Fig. 4-2 PDF p59 matches,visually_double_checked
decoder.algorithm2.lines,"1-23",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,9,9,Algorithm 2,thesis Algorithm 4-2 PDF p60 printed p48,visually_double_checked
operator.fig5,"8-position JS fixture",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,12,12,Fig. 5,article prose on same page,visually_double_checked
operator.fig6,"six 5-position FA-MA-WA cases",published_baseline,BBBF3051E3B0B4F24A6B7FDC01DBAE7375D774E2467738A4DD8E49EAECACCF9D,14,14,Fig. 6,thesis Figs. 4-4 to 4-6 PDF p63,visually_double_checked
