role	artifact	sha256	sourceNote
runtimeConfig_A0_500k_s20260827	V35ProductionConfiguration.configurationHash()	6bfe5ae4e50119b9154930af0cd19425f38ae07c23d73da24e7b0c8015e226e5	plan key runtimeConfigurationSha256
runtimeConfig_A0_500k_s20260906	V35ProductionConfiguration.configurationHash()	ec48e12409d10028e0bd54be7c8cacf3bcc1903d16c86a52827d60631ca069a8	plan key runtimeConfigurationSha256
runtimeConfig_A4_500k_s20260827	V35ProductionConfiguration.configurationHash()	ed64028b0d9cfb60d57ad30cb0c395310841b523ea2262ec09ae757ad066deeb	plan key runtimeConfigurationSha256
runtimeConfig_A4_500k_s20260906	V35ProductionConfiguration.configurationHash()	8ebf0f7e15a63eeef08b66b6fe24f6f9d066264bff936ef8f13591594f964889	plan key runtimeConfigurationSha256
armProfile_A0_2k_s20260827	V35FinalAblationProfile.configurationHashFor(A0,20260827,100,2000)	1ab8178d3c646ee40a31cb7317a1e4c9161de09248ea706f8cf4298730b44e9b	shakedown binding
runtimeConfig_A0_2k_s20260827	V35ProductionConfiguration.configurationHash()	cd85a1cabe54a47885d6eaf2d528b860d453a570c428865a6296a865d4e9bf45	shakedown binding
armProfile_A4_2k_s20260827	V35FinalAblationProfile.configurationHashFor(A4,20260827,100,2000)	a0dddaef035f4babdd73feadf02c96d14f3ca4b0d6b6b7f24a9a758e889ac635	shakedown binding
runtimeConfig_A4_2k_s20260827	V35ProductionConfiguration.configurationHash()	59c7e445bb37450649cec9540ff50ed0522755729a85645c214e257a48f5ea22	shakedown binding
snapshot_50_2_3_1_s20260827	formal manifest materialization	68c44eae862ac35b207d05db3ee228a06a307821c7648e577512ddeb1e52c541	V35 hash a73e922f…; P8 hash 219db415…; manifest cross-checked
snapshot_100_5_3_1_s20260827	formal manifest materialization	38c2ec4f40be2de7e1923f05bf2080ac0ce1324726afe79bb1acff7c1ee571df	V35 hash 538deac9…; P8 hash ac532e1e…; manifest cross-checked
snapshot_50_2_3_1_s20260906	gap-probe-local materialization (deterministic canonical factory, reload-verified)	5ddc0add8a2c220befa3948bc07678034df8aa3037cf5e074c68218dfbffd0cb	V35 hash 5debfe78…; P8 hash e59c113b…
snapshot_100_5_3_1_s20260906	gap-probe-local materialization (deterministic canonical factory, reload-verified)	2daf18c13744038d878df6d702235f85e8738ab8e3f7e50b074d35f0bdf4e185	V35 hash 62a8a3ba…; P8 hash f0287cb5…
instance_50_2_3_1	java-jmetal58/EADHFSP/50_2_3_1.txt	d08d6abc46788d46bc24c135a8dc810b4675e333e3d61e65c7551835fc93e787	FORMAL_INSTANCE_MANIFEST cross-checked
instance_100_5_3_1	java-jmetal58/EADHFSP/100_5_3_1.txt	2e88fa97a6f84af347a4603f04c387a65c8f9891bcab8ac6b70fdec622ea35cf	FORMAL_INSTANCE_MANIFEST cross-checked
setup_50_2_3_1	java-jmetal58/instance-extensions/v1/50_2_3_1.setup.txt	f9bde51a5f873896291527676bcbfaf8291c72b91175a6828dd722eaa54df54e	machine-computed (corrected after self-audit caught fabricated tails)
fatigue_50_2_3_1	java-jmetal58/fatigue-parameters/v1/50_2_3_1.fatigue.txt	46192fe26bfc79201456c98d70d9acc25e40dd84cdd86b050af1718e3715b4da	machine-computed (corrected after self-audit caught fabricated tails)
setup_100_5_3_1	java-jmetal58/instance-extensions/v1/100_5_3_1.setup.txt	4b49b780f6ee887099574f9008bebdc106e9cf5808a11b5af97a5ee4512c1d90	machine-computed
fatigue_100_5_3_1	java-jmetal58/fatigue-parameters/v1/100_5_3_1.fatigue.txt	cf611bfb3690d50f1b4dc8d6d6631dd9d04546d3ca4c4020cc9017475d4bf457	machine-computed
