runKey,configuration,lambda,instance,seed,maxFEs,budgetProtocol,snapshotSha256,initialPopulationHashV35,initialPopulationHashP8,algorithmJarSha256,calibrationImplementationJarSha256,profileHash,problemConfigurationHash,status
V35CAL-50_2_3_1-20260906-C2_MEDIUM,C2_MEDIUM,0.15,50_2_3_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-50_2_3_1-20260906-C3_STRONG,C3_STRONG,0.30,50_2_3_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-50_2_3_1-20260907-C0_CURRENT,C0_CURRENT,0,50_2_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-50_2_3_1-20260907-C1_WEAK,C1_WEAK,0.05,50_2_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-50_2_3_1-20260907-C2_MEDIUM,C2_MEDIUM,0.15,50_2_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-50_2_3_1-20260907-C3_STRONG,C3_STRONG,0.30,50_2_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260906-C0_CURRENT,C0_CURRENT,0,100_2_4_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260906-C1_WEAK,C1_WEAK,0.05,100_2_4_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260906-C2_MEDIUM,C2_MEDIUM,0.15,100_2_4_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260906-C3_STRONG,C3_STRONG,0.30,100_2_4_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260907-C0_CURRENT,C0_CURRENT,0,100_2_4_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260907-C1_WEAK,C1_WEAK,0.05,100_2_4_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260907-C2_MEDIUM,C2_MEDIUM,0.15,100_2_4_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_2_4_1-20260907-C3_STRONG,C3_STRONG,0.30,100_2_4_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260906-C0_CURRENT,C0_CURRENT,0,100_8_3_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260906-C1_WEAK,C1_WEAK,0.05,100_8_3_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260906-C2_MEDIUM,C2_MEDIUM,0.15,100_8_3_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260906-C3_STRONG,C3_STRONG,0.30,100_8_3_1,20260906,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260907-C0_CURRENT,C0_CURRENT,0,100_8_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260907-C1_WEAK,C1_WEAK,0.05,100_8_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260907-C2_MEDIUM,C2_MEDIUM,0.15,100_8_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
V35CAL-100_8_3_1-20260907-C3_STRONG,C3_STRONG,0.30,100_8_3_1,20260907,250000,PHASE_CONSISTENT_BUDGET_TERMINATION,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,TO_BE_COMPUTED_BY_FROZEN_CODE,PREREGISTERED_NOT_STARTED
