instance,size,factories,stages,machines,workers,scale,in45Roster,historicalCampaigns,usedForDOE,usedForFC5,usedForParameterSelection,usedForAlgorithmDecision,usedForValidation,usedForFormal,currentRole,roleReason,sourcePaths,sourceHashes,futureAllowedUse
10_3_2_1,,,,,,,false,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,LEGACY_EXCLUDED,pilot/wiring-only instance outside the 45-instance formal roster,docs/evidence census + java-jmetal58/EADHFSP/10_3_2_1.txt,,excluded from V35 experiments
150_2_3_1,150,2,3,17,14,150x2x3,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_2_3_1.txt,3BB9C11FAE830399E83D3B630050FC77D9F92A8053ECC02F7612556249680C39,validation holdout only until user releases it
150_2_4_1,150,2,4,20,17,150x2x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_2_4_1.txt,D02556422920C7A2AD158D400745A3A6A34897EBA709FB9D276B3963F6CC81FE,validation holdout only until user releases it
150_2_5_1,150,2,5,30,25,150x2x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_2_5_1.txt,7B827AEBAF6721B85124C59AFD115FAD9629CB2904DF985A446857CCD4280050,validation holdout only until user releases it
150_5_3_1,150,5,3,48,39,150x5x3,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_5_3_1.txt,FB8870B70028D82C11ADBAAA9F3B5BB4B47BC8071C8C509567627EBABEF22F97,validation holdout only until user releases it
150_5_4_1,150,5,4,68,54,150x5x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_5_4_1.txt,1E3F435C39E2992EEAC92E804F86C1C3D54C4F5F64A7DB6B76E55E569605A7AC,validation holdout only until user releases it
150_5_5_1,150,5,5,80,65,150x5x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_5_5_1.txt,D38F5275D136222D1C5183B513E88EA265C65D6F2B48FB08397A039D90BEA43C,validation holdout only until user releases it
150_8_3_1,150,8,3,78,63,150x8x3,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_8_3_1.txt,883EB2E04F7ABDAA393EF60F5E2D3D214838E3C75E1972C5B7915D49A211C970,validation holdout only until user releases it
150_8_4_1,150,8,4,95,79,150x8x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_8_4_1.txt,65DBB68014F576C3E7AD1FAD2E36AC1BD2F908D4C16BD179C35DF29BB3234613,validation holdout only until user releases it
150_8_5_1,150,8,5,114,95,150x8x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/150_8_5_1.txt,526D53DB1BFD50C1CA75FDAF77D6A1E0BE51A7F37ACD8D68F0FB5295235A0D3F,validation holdout only until user releases it
200_2_3_1,200,2,3,17,14,200x2x3,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_2_3_1.txt,9113794C1DB67F4DAFA1BDCC970CD8C64B99919F01AFA970243588C55B99B48D,validation holdout only until user releases it
200_2_4_1,200,2,4,19,16,200x2x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_2_4_1.txt,5FA9B04919F380E7C579C21EC79F607658262BBEF00A8A5131F618C61BA2F0FF,validation holdout only until user releases it
200_2_5_1,200,2,5,26,22,200x2x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_2_5_1.txt,503A9D7F5B0E945CF7462B4C836BBB1DF5A9558228782CBE7F4CD4BCF0E14DF8,validation holdout only until user releases it
200_5_3_1,200,5,3,42,35,200x5x3,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_5_3_1.txt,5D53BC23291C3887DF171A2E48D6AF1FC9FB513F666C026959C1CEB6F4917318,validation holdout only until user releases it
200_5_4_1,200,5,4,57,47,200x5x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_5_4_1.txt,847E607A5E464394AD3A1E39A1284B425BF459D77E474A4919C7E9085BA580A8,validation holdout only until user releases it
200_5_5_1,200,5,5,67,56,200x5x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_5_5_1.txt,9506CEED94A86C6DF4167272F719922E176B8111020A1BB8FBEFB86342D8BE1F,validation holdout only until user releases it
200_8_3_1,200,8,3,66,55,200x8x3,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_8_3_1.txt,87EFC35F27A94C857B795C74FF725E0A637E9E8A274B98098EE1B80DBFCD8DE8,validation holdout only until user releases it
200_8_4_1,200,8,4,88,73,200x8x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_8_4_1.txt,074888E63D91D02B7FB1A915AF6BA00128FE73306FC9FA06C849D7D7B0175852,validation holdout only until user releases it
200_8_5_1,200,8,5,115,94,200x8x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/200_8_5_1.txt,B28FC23335129221ABA89F9C9EAD00CA739F107A43EA3117183E32036B323169,validation holdout only until user releases it
20_2_3_1,20,2,3,18,15,20x2x3,true,P8;P8-v2;P8-v3;P8.1;P8.3;P9;P9-pilot-remote-20260810;PF对比发放_20_2_3_1(repo-root);V35-A2-A3-CAUSAL-AUDIT;V35-DOE1-subgroup-mixture;V35-FC5-MIDHORIZON-DIAGNOSTICS;V35-P25B-pressure-diagnosis;V35-P25D-all-algorithms-50k-pilot;V35-P26,true,true,true,false,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/20_2_3_1.txt,47D32D48E719219C5FA2B41E08278518C8162E3EB88398B5A4E8F54B61578A08,development incl. Configuration Race; never Validation holdout
20_2_4_1,20,2,4,30,23,20x2x4,true,V35-A2-A4-MULTIINSTANCE-CONFIRMATION,true,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/20_2_4_1.txt,C963F65A6235F8F91E65C48F0639B7355A91100DED05472CEC7582B6B8404590,development incl. Configuration Race; never Validation holdout
20_2_5_1,20,2,5,31,25,20x2x5,true,V35-A2-FINAL-CANDIDATE-CONFIRMATION,false,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/20_2_5_1.txt,F9CB309B01A78E06C3FA3F84E3B51230600A71726CBACD32965D08D815FA52F8,development incl. Configuration Race; never Validation holdout
20_5_3_1,20,5,3,46,37,20x5x3,true,V35-A2-A4-MULTIINSTANCE-CONFIRMATION,true,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/20_5_3_1.txt,A1F7244222F33E89DE28E35D52748EF0E420FDB6A81A8F87973CD2A0AB02A6E7,development incl. Configuration Race; never Validation holdout
20_5_4_1,20,5,4,64,51,20x5x4,true,V35-DOE1-subgroup-mixture,true,false,false,false,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/20_5_4_1.txt,E48AD5911647AEF9C6CF2230C9295F4CA20850589AA32C1A6EBFB535085B7BDA,development incl. Configuration Race; never Validation holdout
20_5_5_1,20,5,5,90,73,20x5x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/20_5_5_1.txt,7DF97229616C9CE70E8DB2ADADF5FFE007DB02D5744D87CE29ABC37D792B9651,validation holdout only until user releases it
20_8_3_1,20,8,3,71,56,20x8x3,true,V35-A2-FINAL-CANDIDATE-CONFIRMATION,false,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/20_8_3_1.txt,70B4451E0E74D14E7BF23FF7A3E53A9D39FD1315700EE460502BA773AA80CDD5,development incl. Configuration Race; never Validation holdout
20_8_4_1,20,8,4,102,81,20x8x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/20_8_4_1.txt,10408B3F33B04166D3308F5E46E74EF7E41A336FEFC9E51AE4FCC78BC1BE19D7,validation holdout only until user releases it
20_8_5_1,20,8,5,123,100,20x8x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/20_8_5_1.txt,C87EA67078CA20C87ECC7E513CE599F394787390BAB6D37DA6B29E87E4F5C42D,validation holdout only until user releases it
3_2_2_1,,,,,,,false,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,LEGACY_EXCLUDED,pilot/wiring-only instance outside the 45-instance formal roster,docs/evidence census + java-jmetal58/EADHFSP/3_2_2_1.txt,,excluded from V35 experiments
50_2_3_1,50,2,3,14,12,50x2x3,true,V35-DOE1-subgroup-mixture;V35-P26,true,false,false,false,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/50_2_3_1.txt,D08D6ABC46788D46BC24C135A8DC810B4675E333E3D61E65C7551835FC93E787,development incl. Configuration Race; never Validation holdout
50_2_4_1,50,2,4,24,20,50x2x4,true,V35-A2-A4-MULTIINSTANCE-CONFIRMATION,true,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/50_2_4_1.txt,B04A10CB25B8B62518DEF7694AD24C35EFC78D0A92CFFF64EDD7AF2F7A209377,development incl. Configuration Race; never Validation holdout
50_2_5_1,50,2,5,37,29,50x2x5,true,V35-A2-FINAL-CANDIDATE-CONFIRMATION,false,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/50_2_5_1.txt,2916A67E93CDB06F484A05911823717F0E517BBCED25DD07197C9D59D566BCB3,development incl. Configuration Race; never Validation holdout
50_5_3_1,50,5,3,46,37,50x5x3,true,V35-A2-A4-MULTIINSTANCE-CONFIRMATION,true,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/50_5_3_1.txt,D4A4444514EF1F294A27794B9D91C81926B40DCC705B90E6FBF606F2FFC5F573,development incl. Configuration Race; never Validation holdout
50_5_4_1,50,5,4,72,58,50x5x4,true,V35-DOE1-subgroup-mixture,true,false,false,false,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/50_5_4_1.txt,731200518FC4B994728B06BCA194A54DE01B3EEA154D3642C3DF5A29FC50371F,development incl. Configuration Race; never Validation holdout
50_5_5_1,50,5,5,82,65,50x5x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/50_5_5_1.txt,F930F1D671BB0ECC90F5E734FC6C1185F0EA48BF1A7D93E8618FD3518A14899E,validation holdout only until user releases it
50_8_3_1,50,8,3,83,66,50x8x3,true,V35-A2-FINAL-CANDIDATE-CONFIRMATION,false,false,false,true,false,false,CONTAMINATED_DEVELOPMENT,"run-level exposure in campaign evidence; eligible for development/Race, never validation",docs/evidence census + java-jmetal58/EADHFSP/50_8_3_1.txt,2C66B65B7A0F99EB48D14A7AF0CDC8EAF0BB10189A3DE71E263774CAEA08D47E,development incl. Configuration Race; never Validation holdout
50_8_4_1,50,8,4,95,75,50x8x4,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/50_8_4_1.txt,D4EBF79242421CDBECCC626D162AAEFF82EC87228C69859283D10A4E7C2AD413,validation holdout only until user releases it
50_8_5_1,50,8,5,115,92,50x8x5,true,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,VALIDATION_RESERVED,"zero run-level exposure in 2026-08-29 census (formal-roster instance, snapshot materialization only); default holdout assignment, reclassification requires user approval",docs/evidence census + java-jmetal58/EADHFSP/50_8_5_1.txt,D4D350A3A3F742FC14EA8A71A1EA72CDCECCDB795DCB4A252987444FD231CC13,validation holdout only until user releases it
5_2_2_1,,,,,,,false,V35-FORMAL-MANIFEST(materialization-only),false,false,false,false,false,false,LEGACY_EXCLUDED,pilot/wiring-only instance outside the 45-instance formal roster,docs/evidence census + java-jmetal58/EADHFSP/5_2_2_1.txt,,excluded from V35 experiments
