dataSource,sourceStatusProperties,sourceCmaxAuditCsv,instance,seed,arm,budget,instanceClass,sourceModule,generationCount,generationCountBasis,trackedCandidateCount,ndContribution_ndWithinTrackedSubset,pddrRetainedRate,nextRoundSurvivalRate,globalArchiveRate,offspringImprovedRate,evidenceLimitations
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\cmax-audit-records.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,CA-TA-Test,5276,mechanismSummary counter,0,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=39/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; cmax-audit-records 无该来源 tracked 候选; 逐来源严格ND/HV贡献 NOT_EXPORTED(冻结Jar); offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\cmax-audit-records.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,CA-TA-Apply,1947,mechanismSummary counter,0,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=39/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; cmax-audit-records 无该来源 tracked 候选; 逐来源严格ND/HV贡献 NOT_EXPORTED(冻结Jar); offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\cmax-audit-records.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,inheritedLS,4096,pddr-observation.properties counter (RING-BUFFER-CAPPED),22,0.363636,0.272727,0.000000,0.272727,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=39/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; inheritedLocalEventOps 环形缓冲截断(cap=4096; p6EventsTotal=182923, p6EventsRetained=4096); 真实 LS 事件总数 NOT_OBSERVABLE; formalLocalFE=87677 为 FE 消耗量非生成计数; offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C0-50_2_3_1-20260916\cmax-audit-records.csv,50_2_3_1,20260916,C0,250000,NORMAL_50JOB,initial,100,mechanismSummary counter,7,0.000000,0.000000,NOT_APPLICABLE_NO_SELECTED,1.000000,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=39/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,CFVF,170000,mechanismSummary counter,11,0.181818,0.000000,NOT_APPLICABLE_NO_SELECTED,1.000000,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,Qg,6800,mechanismSummary counter,0,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; cmax-audit-records 无该来源 tracked 候选; 逐来源严格ND/HV贡献 NOT_EXPORTED(冻结Jar); offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,Qp,150100,mechanismSummary counter,0,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; cmax-audit-records 无该来源 tracked 候选; 逐来源严格ND/HV贡献 NOT_EXPORTED(冻结Jar); offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,CA-TA-Test,6807,mechanismSummary counter,0,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; cmax-audit-records 无该来源 tracked 候选; 逐来源严格ND/HV贡献 NOT_EXPORTED(冻结Jar); offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,CA-TA-Apply,1896,mechanismSummary counter,0,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,EVIDENCE_FIELD_LIMITATION,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; cmax-audit-records 无该来源 tracked 候选; 逐来源严格ND/HV贡献 NOT_EXPORTED(冻结Jar); offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,inheritedLS,3741,pddr-observation.properties counter (RING-BUFFER-CAPPED),27,0.296296,0.148148,0.000000,0.148148,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; inheritedLocalEventOps 环形缓冲截断(cap=4096; p6EventsTotal=200626, p6EventsRetained=4096); 真实 LS 事件总数 NOT_OBSERVABLE; formalLocalFE=70200 为 FE 消耗量非生成计数; offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-100_5_3_1-20260916\cmax-audit-records.csv,100_5_3_1,20260916,C2,250000,HARD_100JOB,initial,100,mechanismSummary counter,4,0.000000,0.250000,0.000000,1.000000,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=42/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
A:V35-GAP-LOCAL-FE-PACING-REPAIR/16-remote-250k-runs/sync,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-50_2_3_1-20260916\status.properties,E:\学习\李明哲-毕业材料\张博改进\docs\evidence\V35-GAP-LOCAL-FE-PACING-REPAIR\16-remote-250k-runs\sync\seed-20260916\results\run-GAPL250K-C2-50_2_3_1-20260916\cmax-audit-records.csv,50_2_3_1,20260916,C2,250000,NORMAL_50JOB,CFVF,170000,mechanismSummary counter,8,0.000000,0.000000,NOT_APPLICABLE_NO_SELECTED,1.000000,NOT_EXPORTED,"ndContribution 仅 cmax-audit tracked 子集(N=48/run, mechanism∈{FIXED_VNS,CFVF,INITIAL}); poolLevelAttribution=NOT_EXPORTED_BY_FROZEN_JAR; offspringImprovedRate NOT_EXPORTED(A源无该字段; 仅B directional-lifecycle 4方向代表、C 23-a4-50k cata-contribution/teacher-use 事件[50k,单seed]存在)"
