campaignId,stage,semanticVersion,status,paperUseClass,referenceEligible,localPath,remotePath,supersededBy,retentionClass
V35_P24_FREEZE,V35-P24-P24.2,v35-final-parameter-freeze,COMPLETED,PAPER_PARAMETER_SELECTION,false,docs/evidence/V35-P24.2,,CURRENT,KEEP
V35_P25A,V35-P25A,legacy-pre-pressure,COMPLETED,NEGATIVE_RESULT_APPENDIX,false,docs/evidence/V35-P25A-main-variant-gate,/home/inspur/aicomp/zhangbo-v35-p25a-main-variant-20260814,V35_SAFE_A4,ARCHIVE_FULL
V35_P25B,V35-P25B,pressure-confidence-diagnosis-v1,REJECTED,NEGATIVE_RESULT_APPENDIX,false,docs/evidence/V35-P25B,,BAL_OPEN,KEEP
V35_P25D,V35-P25D,enhanced-comparator-rewrite,INVALID_FOR_PAPER,LEGACY_EXCLUDED,false,docs/evidence/V35-P25D-all-algorithms-50k-pilot,/home/inspur/aicomp/zhangbo-v35-p25d-8alg-50k-20260815,V35_P25E,ARCHIVE_THIN
V35_P25E,V35-P25E,faithful-comparison-adapter,COMPLETED,PILOT_DIAGNOSTIC,false,docs/evidence/V35-P25E-corrected-comparison,/home/inspur/aicomp/zhangbo-v35-p25e-corrected-50k-20260815,CURRENT,ARCHIVE_FULL
V35_FC6,V35-P26-FC6,v35-fc6-closure,COMPLETED,PAPER_PARAMETER_SELECTION,false,docs/evidence/V35-P26,/home/inspur/aicomp/zhangbo-fc6-20260818,CURRENT,ARCHIVE_FULL
V35_FC6_ORDER,V35-P26-FC6A4,global-original-order-test,REJECTED,NEGATIVE_RESULT_APPENDIX,false,docs/evidence/V35-P26/FC6A4-local-search-order,/home/inspur/aicomp/zhangbo-fc6a4-order-20260820,CA_TA_THEN_INHERITED,ARCHIVE_FULL
V35_FC6_REGION,V35-P26-FC6B,region-aware-pddr,REJECTED,NEGATIVE_RESULT_APPENDIX,false,docs/evidence/V35-P26/FC6B-region-aware,/home/inspur/aicomp/zhangbo-fc6b-region-20260820-r3,GLOBAL_ORIGINAL,ARCHIVE_FULL
V35_DOE1_DEV,V35-DOE1,subswarm-mixture-doe1,COMPLETED,PAPER_PARAMETER_SELECTION,false,docs/evidence/V35-DOE1-subgroup-mixture,/home/inspur/aicomp/zhangbo-v35-doe1-20260820,CURRENT,ARCHIVE_FULL
V35_DOE1_CONFIRM,V35-DOE1,subswarm-mixture-heldout,COMPLETED,PAPER_PARAMETER_SELECTION,false,D:/CodexTemp/V35-DOE1-heldout-audit-20260822,/home/inspur/aicomp/zhangbo-v35-doe1-heldout-20260822,CURRENT,ARCHIVE_FULL
V35_FINAL_FREEZE,Stage2,v35-final-doe1-frozen,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/V35-FINAL-FREEZE,,CURRENT,KEEP
V35_FORMAL_MANIFEST,Stage2,v35-formal-manifest-v1,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/V35-FORMAL-MANIFEST,,CURRENT,KEEP
V35_PHASE_BUDGET,Stage2,v35-phase-consistent-budget-v1,COMPLETED,REPRODUCIBILITY_ONLY,false,docs/evidence/V35-PHASE-BUDGET-PROTOCOL,/home/inspur/aicomp/zhangbo-v35-stage2-phasebudget-20260823-r3,CURRENT,ARCHIVE_FULL
V35_STAGE2_PILOT,Stage2,v35-final-a0-a4-master-v2,PAUSED_AFTER_PILOT,PILOT_DIAGNOSTIC,false,docs/evidence/V35-STAGE2-PILOT-A0-A4-20260823,/home/inspur/aicomp/zhangbo-v35-stage2-master-v2-20260823,CURRENT,KEEP_RAW
V35_ND_ARCHIVE,V35-ND-ARCHIVE,v35-nd-archive-dormant-runner-v1,LOCAL_IMPLEMENTATION_ONLY,MAIN_METHOD_EVIDENCE,false,docs/evidence/V35-ND-ARCHIVE,,CURRENT,KEEP
