vector,position,oldValue,newValue,evaluationIndex
MA,18,3,1,235
MA,8,3,1,239
WA,12,2,0,239
MA,19,3,1,243
MA,4,2,0,246
MA,10,3,1,256
WA,10,2,0,256
WA,13,2,0,256
MA,3,2,0,260
WA,3,2,0,260
MA,5,3,1,260
WA,5,2,0,260
MA,16,3,1,260
WA,16,2,0,260
MA,7,2,0,261
WA,8,2,0,261
WA,13,2,0,261
MA,19,3,1,261
WA,19,2,0,261
MA,19,2,0,262
WA,15,2,0,271
MA,18,3,1,273
MA,5,3,1,275
WA,8,2,0,275
MA,14,3,1,275
MA,17,2,0,275
WA,17,2,0,275
MA,9,2,0,277
WA,9,2,0,277
WA,13,2,0,277
MA,6,3,1,278
MA,10,3,1,278
MA,18,2,0,278
MA,4,2,0,283
MA,16,3,1,288
WA,18,2,0,288
MA,9,3,1,289
WA,9,2,0,289
WA,12,2,0,294
WA,13,2,0,294
MA,4,3,1,301
MA,15,2,0,301
WA,15,2,0,301
MA,6,3,1,306
MA,10,3,1,311
MA,16,3,1,317
WA,16,2,0,317
MA,14,3,1,328
MA,15,2,0,328
MA,18,2,0,328
WA,18,2,0,328
WA,10,2,0,332
MA,10,2,0,338
WA,10,2,0,338
MA,11,2,0,338
MA,12,2,0,338
MA,14,2,0,338
MA,9,2,0,341
WA,9,2,0,341
MA,7,3,1,345
WA,7,2,0,345
MA,10,2,0,345
WA,9,2,0,352
MA,14,3,1,352
WA,14,2,0,352
MA,18,2,0,356
MA,10,3,1,364
WA,10,2,0,364
WA,17,2,0,368
MA,6,3,1,370
MA,12,3,1,370
MA,4,3,1,371
MA,18,3,1,376
MA,2,2,0,377
WA,2,2,0,377
MA,18,3,1,377
WA,18,2,0,377
MA,19,3,1,377
WA,19,2,0,377
MA,18,2,0,386
MA,4,3,1,399
MA,9,2,0,403
WA,9,2,0,403
WA,13,2,0,403
MA,17,2,0,417
MA,14,2,0,421
WA,14,2,0,421
WA,18,2,0,425
MA,19,2,0,425
MA,15,2,0,433
WA,8,2,0,436
MA,9,3,1,436
WA,9,2,0,436
WA,11,2,0,442
WA,16,2,0,442
MA,17,2,0,442
MA,18,3,1,443
WA,15,2,0,448
WA,3,2,0,453
MA,4,3,1,453
MA,18,2,0,453
WA,18,2,0,453
MA,14,3,1,455
WA,14,2,0,455
MA,4,3,1,463
WA,14,2,0,470
MA,15,2,0,476
WA,15,2,0,476
WA,8,2,0,484
MA,4,3,1,487
WA,19,2,0,496
MA,17,2,0,500
MA,6,2,0,504
WA,15,2,0,504
WA,14,2,0,510
WA,15,2,0,510
MA,18,3,1,510
MA,12,3,1,512
MA,4,3,1,513
WA,4,2,0,513
MA,9,2,0,513
WA,9,2,0,513
MA,17,3,1,515
WA,17,2,0,515
WA,19,2,0,515
MA,10,2,0,516
WA,10,2,0,516
WA,11,2,0,516
MA,19,2,0,517
MA,7,2,0,526
WA,10,2,0,526
MA,11,2,0,526
MA,18,2,0,526
WA,18,2,0,526
MA,4,2,0,534
MA,3,3,1,537
WA,13,2,0,537
MA,14,2,0,537
MA,4,3,1,538
MA,18,2,0,539
MA,10,3,1,548
WA,12,2,0,548
MA,17,3,1,559
MA,4,2,0,561
MA,15,3,1,562
MA,18,3,1,563
MA,14,2,0,566
MA,15,3,1,566
WA,11,2,0,570
WA,16,2,0,572
WA,19,2,0,572
MA,14,3,1,577
MA,6,2,0,581
WA,7,2,0,581
MA,8,2,0,581
WA,17,2,0,581
WA,18,2,0,585
WA,10,2,0,590
MA,14,2,0,590
WA,14,2,0,590
MA,17,2,0,590
MA,19,3,1,590
WA,19,2,0,590
WA,5,2,0,600
MA,15,3,1,600
WA,0,2,0,601
MA,1,3,1,601
MA,8,2,0,603
WA,8,2,0,603
WA,18,2,0,606
MA,9,2,0,607
MA,18,3,1,607
WA,19,2,0,607
WA,15,2,0,613
MA,5,3,1,614
WA,5,2,0,614
MA,6,2,0,614
WA,9,2,0,618
WA,18,2,0,618
MA,7,2,0,627
WA,7,2,0,627
MA,8,3,1,627
MA,10,2,0,627
WA,19,2,0,629
WA,11,2,0,631
MA,12,2,0,631
MA,17,3,1,631
WA,17,2,0,631
MA,13,3,1,640
WA,2,2,0,642
WA,3,2,0,642
MA,13,3,1,644
MA,9,3,1,649
MA,10,2,0,652
WA,18,2,0,660
WA,15,2,0,672
MA,4,3,1,680
WA,10,2,0,680
MA,13,2,0,680
MA,14,3,1,680
MA,7,2,0,682
WA,7,2,0,682
WA,2,2,0,683
MA,12,2,0,686
MA,14,3,1,686
MA,6,2,0,688
WA,6,2,0,688
MA,7,2,0,688
MA,12,3,1,688
MA,5,2,0,698
MA,7,2,0,711
MA,8,3,1,711
WA,5,2,0,712
WA,18,2,0,715
MA,4,3,1,718
MA,8,2,0,718
MA,16,2,0,718
MA,12,2,0,721
WA,5,2,0,727
MA,15,2,0,727
WA,15,2,0,727
WA,6,2,0,733
WA,18,2,0,733
MA,19,2,0,733
WA,19,2,0,733
MA,12,3,1,734
MA,19,3,1,734
MA,10,3,1,737
MA,15,3,1,746
WA,3,2,0,749
MA,7,3,1,749
MA,15,3,1,756
WA,15,2,0,756
WA,18,2,0,761
MA,9,3,1,763
WA,14,2,0,763
MA,18,2,0,775
WA,18,2,0,775
MA,10,2,0,778
MA,4,3,1,783
MA,9,3,1,789
MA,13,3,1,789
MA,0,3,1,792
WA,0,2,0,792
MA,4,2,0,795
MA,12,3,1,804
MA,9,2,0,810
WA,16,2,0,810
MA,12,2,0,824
MA,17,3,1,824
MA,4,3,1,828
MA,5,2,0,846
WA,5,2,0,846
MA,17,3,1,846
MA,3,3,1,848
WA,3,2,0,848
MA,6,2,0,848
MA,4,2,0,851
MA,1,2,0,852
MA,4,2,0,852
MA,18,2,0,858
MA,19,2,0,858
MA,16,2,0,859
MA,4,2,0,861
MA,13,3,1,862
MA,12,3,1,874
MA,6,3,1,878
MA,6,2,0,887
MA,7,2,0,887
MA,9,2,0,887
MA,11,3,1,895
MA,14,3,1,895
MA,6,3,1,900
MA,11,2,0,912
MA,7,3,1,915
MA,10,2,0,915
MA,5,3,1,917
MA,7,3,1,922
MA,4,3,1,924
MA,13,3,1,924
WA,13,2,0,924
MA,5,2,0,930
MA,12,3,1,930
MA,15,3,1,930
MA,16,2,0,931
MA,8,3,1,940
WA,8,2,0,940
MA,15,2,0,940
MA,19,3,1,940
MA,4,2,0,948
MA,6,3,1,950
WA,4,2,0,954
WA,10,2,0,956
MA,10,2,0,957
MA,13,2,0,957
WA,13,2,0,957
WA,14,2,0,965
MA,17,2,0,970
MA,6,3,1,978
MA,16,3,1,980
MA,18,2,0,980
MA,9,3,1,984
MA,17,2,0,987
WA,17,2,0,987
MA,3,2,0,992
MA,12,3,1,998
MA,5,3,1,1007
WA,5,2,0,1007
MA,4,3,1,1011
MA,10,2,0,1020
MA,12,2,0,1025
MA,15,2,0,1057
MA,4,2,0,1071
MA,11,3,1,1075
MA,4,2,0,1079
MA,12,3,1,1083
MA,15,3,1,1083
MA,17,2,0,1083
MA,4,3,1,1089
WA,6,2,0,1090
WA,8,2,0,1090
MA,4,3,1,1095
WA,13,2,0,1097
MA,16,2,0,1097
WA,16,2,0,1097
MA,17,3,1,1097
WA,17,2,0,1097
MA,7,2,0,1098
MA,9,3,1,1098
MA,11,3,1,1098
WA,11,2,0,1098
MA,12,3,1,1107
MA,13,3,1,1107
MA,4,3,1,1125
MA,6,3,1,1125
WA,1,2,0,1128
MA,13,3,1,1128
MA,5,3,1,1134
WA,5,2,0,1134
MA,9,3,1,1134
WA,9,2,0,1134
MA,7,2,0,1144
MA,14,3,1,1148
WA,9,2,0,1155
MA,12,2,0,1155
MA,7,3,1,1159
MA,17,3,1,1159
MA,3,3,1,1163
WA,3,2,0,1163
MA,4,2,0,1163
MA,12,2,0,1184
MA,4,3,1,1197
MA,14,2,0,1199
MA,6,3,1,1201
WA,0,2,0,1209
MA,1,2,0,1215
WA,1,2,0,1215
MA,5,2,0,1215
MA,1,3,1,1223
MA,8,3,1,1223
MA,10,2,0,1229
WA,10,2,0,1229
MA,12,3,1,1229
WA,12,2,0,1229
MA,13,3,1,1229
MA,15,2,0,1229
MA,4,2,0,1230
MA,17,3,1,1231
MA,4,2,0,1243
MA,15,3,1,1270
MA,18,2,0,1270
MA,15,3,1,1271
WA,15,2,0,1271
WA,2,2,0,1274
MA,14,3,1,1275
MA,10,3,1,1282
MA,1,3,1,1286
MA,12,3,1,1286
MA,18,2,0,1289
MA,7,3,1,1294
MA,17,3,1,1305
MA,6,2,0,1311
MA,8,3,1,1331
MA,4,2,0,1336
MA,9,2,0,1344
MA,14,3,1,1352
MA,9,2,0,1361
WA,14,2,0,1370
MA,4,2,0,1373
MA,14,3,1,1373
WA,14,2,0,1373
WA,8,2,0,1379
WA,16,2,0,1379
WA,1,2,0,1391
MA,13,3,1,1393
MA,18,2,0,1393
MA,18,3,1,1407
MA,4,2,0,1412
WA,8,2,0,1414
MA,9,2,0,1414
WA,9,2,0,1414
MA,16,2,0,1414
MA,19,3,1,1414
WA,19,2,0,1414
MA,12,2,0,1421
MA,4,3,1,1441
MA,13,2,0,1471
MA,4,3,1,1474
WA,4,2,0,1474
WA,13,2,0,1477
MA,13,3,1,1482
MA,15,3,1,1482
MA,3,3,1,1490
MA,4,2,0,1490
WA,4,2,0,1490
MA,13,2,0,1490
MA,10,3,1,1503
MA,11,2,0,1503
MA,14,2,0,1506
MA,4,3,1,1507
MA,12,2,0,1508
MA,13,2,0,1508
WA,18,2,0,1508
MA,4,3,1,1518
MA,15,3,1,1526
MA,10,2,0,1536
WA,16,2,0,1536
MA,4,2,0,1538
MA,10,3,1,1556
MA,6,3,1,1573
MA,9,2,0,1594
WA,13,2,0,1594
WA,18,2,0,1597
MA,4,3,1,1598
WA,18,2,0,1606
MA,11,3,1,1613
MA,18,2,0,1616
MA,8,2,0,1619
WA,17,2,0,1619
MA,18,3,1,1620
MA,4,3,1,1621
WA,19,2,0,1623
WA,12,2,0,1637
MA,4,3,1,1641
MA,4,3,1,1642
WA,4,2,0,1642
MA,4,3,1,1644
MA,9,3,1,1650
MA,0,2,0,1653
MA,7,3,1,1653
MA,10,2,0,1657
MA,11,3,1,1657
MA,12,3,1,1657
MA,13,3,1,1657
MA,9,3,1,1660
WA,14,2,0,1665
MA,5,2,0,1669
MA,6,3,1,1669
MA,15,2,0,1670
MA,4,3,1,1675
MA,9,2,0,1677
WA,9,2,0,1677
WA,6,2,0,1680
MA,9,2,0,1680
WA,9,2,0,1680
MA,14,2,0,1680
MA,8,2,0,1681
MA,16,3,1,1681
MA,4,3,1,1682
MA,8,3,1,1686
WA,15,2,0,1704
MA,6,3,1,1705
MA,8,2,0,1705
MA,4,2,0,1710
WA,4,2,0,1710
MA,10,2,0,1710
MA,15,2,0,1715
MA,16,3,1,1724
MA,4,3,1,1727
MA,14,3,1,1728
MA,12,3,1,1745
MA,14,3,1,1745
MA,16,3,1,1753
MA,8,3,1,1755
MA,16,2,0,1759
MA,17,3,1,1784
WA,17,2,0,1784
MA,4,3,1,1790
MA,15,2,0,1792
MA,5,3,1,1793
MA,15,2,0,1798
MA,5,2,0,1813
MA,1,3,1,1825
WA,1,2,0,1825
MA,6,3,1,1831
WA,11,2,0,1831
MA,4,3,1,1841
WA,8,2,0,1844
MA,14,3,1,1848
MA,11,2,0,1849
MA,18,3,1,1851
MA,12,2,0,1858
WA,12,2,0,1858
MA,10,3,1,1868
WA,6,2,0,1876
WA,7,2,0,1876
MA,10,2,0,1876
MA,10,3,1,1878
MA,15,3,1,1878
MA,10,2,0,1882
MA,13,3,1,1883
MA,10,2,0,1890
MA,11,3,1,1890
MA,12,3,1,1890
MA,14,2,0,1894
MA,3,2,0,1901
MA,4,2,0,1901
MA,16,2,0,1918
MA,15,2,0,1928
WA,15,2,0,1928
MA,17,3,1,1931
MA,13,3,1,1935
MA,15,3,1,1935
MA,12,3,1,1948
MA,9,2,0,1953
MA,14,3,1,1966
WA,18,2,0,1966
MA,7,3,1,1969
MA,11,2,0,1974
WA,15,2,0,1976
MA,6,2,0,1985
MA,7,2,0,1985
MA,12,3,1,1985
MA,13,2,0,1987
MA,15,3,1,1994
